Alert ID,Title,Description,Severity,Type,Source Date (UTC),Report Date (UTC),Network Type,Source URL,Source Name,Assets,Tags,Assignees,Remediation,Status,Closed Reason,Additional Info,Rating,Alert Link
mn7xy83finmmth4ja363rci9,HTTP headers weakness in company-domain.com web server,"X-FRAME-OPTIONS, X-XSS-PROTECTION, X-CONTENT-TYPE-OPTIONS and CONTENT-SECURITY-POLICY headers were not sent by the server, which makes it vulnerable for various attack vectors",Medium,Exploitable Data,1/21/19 15:55,1/21/19 15:57,Clear Web,https://www.htbridge.com/websec/?id=ABC,,company-domain.com,"Pending, ResID: 265711",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=mn7xy83finmmth4ja363rci9
ue36jyz4rpyd2ca6v4afj9qq,HTTP headers weakness in company-domain.de web server,"X-XSS-PROTECTION and CONTENT-SECURITY-POLICY headers were not sent by the server, which makes it vulnerable for various attack vectors",Medium,Exploitable Data,3/7/19 8:52,3/8/19 13:03,Clear Web,https://www.htbridge.com/websec/?id=DSH,,company-domain.de,,Jane Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=ue36jyz4rpyd2ca6v4afj9qq
g6hfwwreq7kzm7ugbwynvxaj,Problem in a company login page SSL certificate was detected,"Problem in the SSL certificate of a company login page was detected. The login page might not be encrypted properly. Unencrypted login pages expose their users to various kinds of attacks, such as man-in-the-middle attacks, since the credentials are sent in plain text.",Low,Exploitable Data,,3/18/19 9:02,Clear Web,https://wwwscompany-site.com/cs/login,,company-domain.de,,,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=g6hfwwreq7kzm7ugbwynvxaj
c43h6yv4ttwijejyrevewpir,No DMARC Quarantine or Reject Policy for company domain,Company domain has a DMARC record but lacks a Quarantine or Reject Policy. Lack of Quarantine or Reject Policy exposes the given domain to spoofing. It is recommended to set a Quarantine or Reject policy on the domain's DMARC record.,Medium,Exploitable Data,3/28/19 8:33,3/28/19 8:37,Clear Web,https://mxtoolbox.com/SuperTool.aspx?action=mx%3acompany-site.com&run=toolpage#,,company-domain.de,,Jane Doe,Not Sent,In Progress,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=c43h6yv4ttwijejyrevewpir
a6nfeqq86pfr6p8xava9a66f,Open ports have been detected on company's IP,"Open ports have been detected on company's IP. These ports should not be open and might expose the company's servers to potential attacks. Please block access to these ports in your firewall. Further investigation is required.IP: 172.185.24.248, Port(s): 123, 179",Medium,Exploitable Data,3/28/19 13:50,3/31/19 13:00,Clear Web,https://www.shodan.io/host/172.185.24.248,,172.185.24.0/24,"Pending, ResID: 267221",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=a6nfeqq86pfr6p8xava9a66f
3p56egcepbaivgiyx68fpc5i,HTTP headers weakness in lexisnexis.com web server,"X-FRAME-OPTIONS, X-XSS-PROTECTION, X-CONTENT-TYPE-OPTIONS and CONTENT-SECURITY-POLICY headers were not sent by the server, which makes it vulnerable for various attack vectors",Medium,Exploitable Data,4/16/19 8:23,4/16/19 8:24,Clear Web,https://www.immuniweb.com/websec/?id=ABC,,company-domain.com,"Pending, ResID: 267222",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=3p56egcepbaivgiyx68fpc5i
93tuudkezgeik488kd422mwh,Company IP address 172.185.18.72 appears on a blacklist,"Company IP address 198.185.18.72 appears on the ""SORBS WEB"", ""RATS NoPtr"" and "" SORBS SPAM"" blacklists. Further investigation is recommended.",Medium,Attack Indication,4/18/19 10:22,4/18/19 10:25,Clear Web,https://mxtoolbox.com/SuperTool.aspx?action=blacklist%3a172.185.18.72&run=toolpage,,172.185.18.0/24,"ResID: 267224, In Progress",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=93tuudkezgeik488kd422mwh
r29fcq2y8fdb9rzuc6ng6w4v,HTTP headers weakness in company-domain.jp web server,"X-FRAME-OPTIONS, X-XSS-PROTECTION, X-CONTENT-TYPE-OPTIONS and CONTENT-SECURITY-POLICY headers were not sent by the server, which makes it vulnerable for various attack vectors",Medium,Exploitable Data,4/23/19 14:13,4/23/19 15:01,Clear Web,https://www.immuniweb.com/websec/?id=DEF,,company-domain.jp,"Pending, ResID: 267226",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=r29fcq2y8fdb9rzuc6ng6w4v
2m79aebp6dqeuwh4w9yau3u9,HTTP headers weakness in company-domain.ca web server,"X-FRAME-OPTIONS, X-XSS-PROTECTION, X-CONTENT-TYPE-OPTIONS and CONTENT-SECURITY-POLICY headers were not sent by the server, which makes it vulnerable for various attack vectors",Medium,Exploitable Data,4/27/19 8:30,4/27/19 13:01,Clear Web,https://www.immuniweb.com/websec/?id=Ghi,,company-domain.ca,"Pending, ResID: 267228",John Doe,Not Sent,Open,,,,https://dashboard.intsights.com/#/threat-command/alerts?search=2m79aebp6dqeuwh4w9yau3u9
,,,,,,,,,,,,,,,,,,
